Content,Video title,Video publish time,Duration,Engaged views,Subscribers,Average percentage viewed (%),Impressions,Impressions click-through rate (%),Unique viewers,Average views per viewer,Returning viewers,Shares,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Comments added,Views,Watch time (hours),Average view duration
eFDBVXx5ZRs,See You on the Otherwise (Groovy Mixup),"Jan 11, 2023",143,5,,28.19,85,3.53,,,,0,0,0,2,0,100,0,5,0.056,0:00:40
KnZcKaIHJMY,Bummer,"Sep 21, 2023",77,4,,48.28,31,6.45,,,,0,0,0,1,0,100,0,4,0.0413,0:00:37
Lmtv5xLXFdE,Songbird,"Jan 28, 2023",185,4,,51.63,68,2.94,,,,0,0,0,0,0,,0,4,0.1061,0:01:35
Ow3rzg2c2-Q,What I Was Thinking While I Was Drowning,"Jan 28, 2023",130,4,,4.03,51,0,,,,0,0,0,1,0,100,0,4,0.0058,0:00:05
tn6Wwm3HHZ8,Art of Zen (Cutthroat Blend),"Jul 11, 2023",146,4,,25.35,62,1.61,,,,0,0,0,2,0,100,0,4,0.0411,0:00:37
97T0bFalt4M,Bummer,"Feb 24, 2023",77,3,,6.42,112,0.89,,,,0,0,0,0,0,,0,3,0.0041,0:00:04
IJ2fZssT1dE,See You on the Otherwise (Dreamy Mix),"Jan 11, 2023",222,3,,34.32,54,0,,,,0,0,0,1,0,100,0,3,0.0635,0:01:16
MzV_zWrPVOY,The Long Way,"Oct 26, 2023",280,3,,42.78,20,15,,,,0,0,0,1,0,100,0,3,0.0998,0:01:59
3YWUngliqLw,Ordinary Robot Blues,"Jan 19, 2023",213,2,,4.68,100,0,,,,0,0,0,0,0,,0,2,0.0055,0:00:09
cMtxvt5xoJA,Sasebo Japan December 1996,"Sep 16, 2023",167,2,,54.19,37,2.7,,,,0,0,0,0,0,,0,2,0.0503,0:01:30
C9el0Hpbe4M,I Can Almost Crash,"Jan 23, 2023",188,0,,,78,0,,,,0,0,0,0,0,,0,0,0,
NyQ0e3SFPfw,The Sun King (Dreamier Mix),"Jan 13, 2023",210,0,,,45,0,,,,0,0,0,0,0,,0,0,0,
VKld4xC93TY,Immaculate Blue,"Sep 3, 2024",208,,,,,,,,,,,,,,,,,,
